text	class
нашествие	38
лось	85
свинья	113
соты	119
носорог	72
крыса	97
жираф	60
соты	119
бабочка	66
птица	87
змея	89
зверь	74
медуза	111
клевать	93
делать выводы	99
ежик	46
клюв	67
панда	96
зубы	82
вой	35
дятел	54
водоплавающее	71
аллигатор	56
рычать	95
водоплавающее	71
лебедь	101
верблюд	63
зоопарк	92
ползанье	65
делать выводы	99
тигр	79
зверь	74
овца	48
коза	64
аллигатор	56
населять	62
лягушка	114
копыто	81
корм для домашних животных	116
лев	78
летучая мышь	43
крыса	97
зубы	82
коза	64
гнездо	34
медведь	103
креветка	36
слон	104
ползанье	65
корм для домашних животных	116
паук	70
клюв	67
павлин	106
мышь	73
крокодил	42
населять	62
бык	91
бык	91
бегемот	37
голова	115
овца	48
зубы	82
лось	85
корм для домашних животных	116
воротник	55
клевать	93
соты	119
летучая мышь	43
тигр	79
верблюд	63
птица	87
дятел	54
собачий домик	108
плавник	75
бегемот	37
аллигатор	56
зверь	74
динозавр	40
делать выводы	99
медуза	111
мышь	73
вилять	107
слон	104
водоплавающее	71
ползанье	65
павлин	106
крыса	97
паук	70
воротник	55
свинья	113
рычать	95
лебедь	101
клюв	67
овца	48
верблюд	63
соты	119
птица	87
зубы	82
бык	91
крокодил	42
клевать	93
населять	62
тигр	79
змея	89
летучая мышь	43
лев	78
лось	85
коза	64
корм для домашних животных	116
клевать	93
коза	64
носорог	72
осел	53
лебедь	101
панда	96
водоплавающее	71
тигр	79
обезьяна	118
динозавр	40
крыса	97
водоплавающее	71
зоопарк	92
коза	64
попугай	45
лебедь	101
помесь	52
осел	53
крокодил	42
дельфин	105
жираф	60
панда	96
вол	61
крокодил	42
носорог	72
домашнее животное	109
прирученный	122
тигр	79
бабочка	66
крыса	97
слон	104
гавканье	90
орел	100
корова	117
заяц	121
обезьяна	118
ежик	46
животное	77
дятел	54
змея	89
клюв	67
паучья сеть	76
верблюд	63
динозавр	40
медуза	111
овца	48
корм для домашних животных	116
попугай	45
свинья	113
лось	85
соты	119
пингвин	51
копыто	81
летучая мышь	43
миграция	80
бык	91
клевать	93
пчела	86
дикое животное	44
делать выводы	99
крыло	120
вилять	107
воротник	55
бегемот	37
коготь	83
собака	68
лягушка	114
акула	94
населять	62
клетка	112
петух	49
лошадь	59
птица	87
ползанье	65
павлин	106
кролик	69
зубы	82
рыба	84
паук	70
гнездо	34
белка	50
перо	41
кошка	57
комар	88
нашествие	38
лиса	39
собачий домик	108
медведь	103
рычание	102
курица	110
животное	77
клевать	93
коза	64
слон	104
бабочка	66
осел	53
прирученный	122
соты	119
жираф	60
тигр	79
домашнее животное	109
крокодил	42
носорог	72
динозавр	40
лебедь	101
делать выводы	99
корова	117
дельфин	105
петух	49
гавканье	90
ежик	46
обезьяна	118
животное	77
панда	96
крыса	97
зоопарк	92
орел	100
клюв	67
помесь	52
зверь	74
лев	78
бык	91
плавник	75
корм для домашних животных	116
водоплавающее	71
пингвин	51
заяц	121
свинья	113
кошка	57
овца	48
попугай	45
медуза	111
верблюд	63
дятел	54
лось	85
населять	62
копыто	81
пчела	86
летучая мышь	43
дикое животное	44
клетка	112
паучья сеть	76
миграция	80
бегемот	37
собака	68
лягушка	114
коготь	83
рога	58
волк	47
креветка	36
голова	115
рога	58
птица	87
лиса	39
лошадь	59
вол	61
змея	89
волк	47
вилять	107
акула	94
павлин	106
воротник	55
медведь	103
крыло	120
креветка	36
гнездо	34
паук	70
рыба	84
зверь	74
голова	115
лев	78
зубы	82
ползанье	65
вой	35
кролик	69
нашествие	38
рычать	95
белка	50
курица	110
козел	33
попугай	45
плавник	75
лебедь	101
перо	41
осел	53
аллигатор	56
рычание	102
комар	88
собачий домик	108
соты	119
олень	98
орел	100
коза	64
зоопарк	92
мышь	73
слон	104
обезьяна	118
жираф	60
помесь	52
дельфин	105
пингвин	51
крокодил	42
делать выводы	99
дятел	54
тигр	79
водоплавающее	71
бык	91
гавканье	90
клевать	93
корова	117
ежик	46
клюв	67
заяц	121
крыса	97
панда	96
паучья сеть	76
бабочка	66
корм для домашних животных	116
прирученный	122
кошка	57
змея	89
свинья	113
вилять	107
верблюд	63
медуза	111
аллигатор	56
носорог	72
ползанье	65
олень	98
рычать	95
вой	35
копыто	81
мышь	73
дикое животное	44
козел	33
птица	87
динозавр	40
пчела	86
овца	48
петух	49
бегемот	37
лось	85
лошадь	59
коготь	83
летучая мышь	43
перо	41
воротник	55
населять	62
рога	58
гнездо	34
лягушка	114
вол	61
курица	110
аллигатор	56
лиса	39
крыло	120
рыба	84
волк	47
зубы	82
миграция	80
нашествие	38
олень	98
рычание	102
комар	88
вой	35
павлин	106
акула	94
собака	68
кролик	69
клетка	112
зверь	74
медведь	103
собачий домик	108
паук	70
мышь	73
рычать	95
креветка	36
белка	50
лев	78
плавник	75
козел	33
делать выводы	99
вол	61
бабочка	66
гавканье	90
пингвин	51
слон	104
зоопарк	92
помесь	52
корова	117
клюв	67
домашнее животное	109
животное	77
корм для домашних животных	116
бык	91
дельфин	105
паучья сеть	76
змея	89
овца	48
копыто	81
заяц	121
петух	49
верблюд	63
лось	85
вилять	107
ползанье	65
собака	68
населять	62
лягушка	114
клетка	112
пчела	86
воротник	55
жираф	60
миграция	80
птица	87
свинья	113
рога	58
летучая мышь	43
лиса	39
коготь	83
гнездо	34
лошадь	59
крыло	120
бегемот	37
комар	88
медуза	111
кролик	69
акула	94
аллигатор	56
белка	50
кошка	57
дикое животное	44
волк	47
медведь	103
креветка	36
курица	110
зверь	74
олень	98
перо	41
рычание	102
вой	35
зубы	82
козел	33
соты	119
рыба	84
паук	70
рычать	95
собачий домик	108
лев	78
нашествие	38
мышь	73
собачий домик	108
дельфин	105
слон	104
животное	77
соты	119
коза	64
помесь	52
попугай	45
зоопарк	92
корова	117
панда	96
осел	53
домашнее животное	109
верблюд	63
жираф	60
бык	91
гавканье	90
орел	100
кошка	57
коготь	83
делать выводы	99
медуза	111
кролик	69
перо	41
зверь	74
дикое животное	44
зубы	82
медведь	103
рыба	84
собачий домик	108
креветка	36
рычание	102
козел	33
белка	50
лось	85
вилять	107
плавник	75
лиса	39
ежик	46
рычание	102
тигр	79
бабочка	66
акула	94
летучая мышь	43
перо	41
гнездо	34
лев	78
голова	115
змея	89
населять	62
пингвин	51
волк	47
миграция	80
лиса	39
вилять	107
аллигатор	56
ежик	46
пингвин	51
паук	70
курица	110
лось	85
белка	50
комар	88
комар	88
змея	89
рычать	95
миграция	80
вой	35
комар	88
бабочка	66
гнездо	34
курица	110
акула	94
бабочка	66
лев	78
змея	89
летучая мышь	43
мышь	73
корм для домашних животных	116
корм для домашних животных	116
овца	48
орел	100
курица	110
пингвин	51
нашествие	38
населять	62
воротник	55
волк	47
перо	41
бегемот	37
крокодил	42
миграция	80
тигр	79
паучья сеть	76
крыло	120
свинья	113
петух	49
лев	78
пчела	86
олень	98
орел	100
пчела	86
нашествие	38
крокодил	42
волк	47
свинья	113
водоплавающее	71
собака	68
паучья сеть	76
клетка	112
рога	58
водоплавающее	71
дятел	54
крыло	120
ползанье	65
клюв	67
павлин	106
вол	61
копыто	81
птица	87
клюв	67
крыса	97
обезьяна	118
домашнее животное	109
клевать	93
заяц	121
орел	100
лебедь	101
мышь	73
олень	98
лягушка	114
крокодил	42
обезьяна	118
дятел	54
динозавр	40
водоплавающее	71
рога	58
паучья сеть	76
собака	68
ползанье	65
клевать	93
павлин	106
крыло	120
носорог	72
птица	87
ползанье	65
клетка	112
бегемот	37
акула	94
воротник	55
домашнее животное	109
лебедь	101
носорог	72
павлин	106
вол	61
лягушка	114
лошадь	59
крыса	97
копыто	81
собака	68
петух	49
заяц	121
клюв	67
клетка	112
бегемот	37
дятел	54
свинья	113
копыто	81
вол	61
крыло	120
крыса	97
заяц	121
лебедь	101
лягушка	114
нашествие	38
носорог	72
рога	58
петух	49
водоплавающее	71
лошадь	59
клевать	93
птица	87
домашнее животное	109
белка	50
домашнее животное	109
летучая мышь	43
дятел	54
ползанье	65
белка	50
домашнее животное	109
дятел	54
гнездо	34
плавник	75
поверхностный	123
интеллектуальный	124
застенчивый	125
добрый	126
истерик	127
аниматор	128
кротость	129
адаптивный	130
амбициозный	131
проныра	132
скучный	133
гордый	134
одаренный	135
прагматичный	136
испорченный	137
нежный	138
любопытный	139
гений	140
рассеянный	141
непослушный	142
наивный	143
острый	144
вежливый	145
отличный	146
смелость	147
правша	148
разумный	149
ленивый	150
детский	151
ребяческий	152
стойкость	153
уверенный	154
обычный	155
прирученный	122
миленький	156
остроумие	157
послушный	158
невиновный	159
опытный	160
инициатива	161
тщеславный	162
доминантный	163
наблюдательность	164
сильный	165
вредный; озорной	166
неловкий; неуклюжий	167
верный	168
особенный	169
мятежный	170
жестокий	171
зрелищный	172
строгий	173
злобный	174
нерадивый	175
логичный	176
торжественный	177
враждебный	178
получающий удовольствие	179
потрясающий	180
доминирующий	181
жадный	182
угрюмый	183
трус	184
жёсткий	185
подлинный	186
милосердный	187
модный	188
осторожный	189
неудобно	190
недобрый	191
прагматичный	136
поверхностный	123
адаптивный	130
аниматор	128
красивый	192
жадность	193
высокомерный	194
испорченный	137
приличный	195
рассеянный	141
искренний	196
добрый	126
аккуратный	197
амбициозный	131
лицемерный	198
разумный	149
положительный	199
грубый	200
ответственный	201
застенчивый	125
отвратительный	202
гордый	134
доминантный	163
странный	203
логичный	176
любопытный	139
глупый	204
вежливый	145
адаптивное поведение	205
доминирующий	181
отрицательный	206
острый	144
оживленный	207
мятежный	170
адаптивность	208
объективный	209
агрессивный	210
предусмотрительный	211
недовольный	212
мудрый	213
причинять резкую боль	214
талант	215
мужественность	216
неприятный	217
смешной	218
запасливый	219
милый	220
трусливо	221
образованный	222
веселый	223
дружелюбный	224
нахальный	225
личные качества	226
беспокоящий	227
наглость	228
зло	229
продуманный	230
зрелищный	172
нежный	138
правша	148
одаренный	135
миленький	156
наблюдательность	164
остроумие	157
смелость	147
кротость	129
уверенный	154
недобрый	191
гений	140
отличный	146
ребяческий	152
проныра	132
опытный	160
наивный	143
ленивый	150
инициатива	161
невиновный	159
мужественность	216
потрясающий	180
стойкость	153
злобный	174
враждебный	178
смешной	218
строгий	173
неловкий; неуклюжий	167
нерадивый	175
верный	168
детский	151
сильный	165
угрюмый	183
истерик	127
объективный	209
жадный	182
жестокий	171
лицемерный	198
подлинный	186
жёсткий	185
осторожный	189
неудобно	190
интеллектуальный	124
странный	203
обычный	155
трус	184
послушный	158
милосердный	187
трусливо	221
адаптивность	208
искренний	196
тщеславный	162
активный	231
приличный	195
образованный	222
агрессивный	210
особенный	169
отвратительный	202
торжественный	177
высокомерный	194
оживленный	207
дружелюбный	224
глупый	204
непослушный	142
отрицательный	206
красивый	192
ответственный	201
предусмотрительный	211
нахальный	225
грубый	200
мудрый	213
беспокоящий	227
милый	220
недовольный	212
аккуратный	197
запасливый	219
веселый	223
наглость	228
талант	215
неприятный	217
причинять резкую боль	214
личные качества	226
зло	229
продуманный	230
неловкий; неуклюжий	167
невиновный	159
послушный	158
ребяческий	152
застенчивый	125
потрясающий	180
получающий удовольствие	179
причинять резкую боль	214
отвратительный	202
милый	220
приличный	195
предусмотрительный	211
отрицательный	206
опытный	160
аккуратный	197
отрицательный	206
сильный	165
смешной	218
грубый	200
особенный	169
истерик	127
послушный	158
строгий	173
смелость	147
положительный	199
скучный	133
прагматичный	136
милосердный	187
аккуратный	197
красивый	192
талант	215
приличный	195
нахальный	225
модный	188
жёсткий	185
мужественность	216
дружелюбный	224
милый	220
личные качества	226
нерадивый	175
неловкий; неуклюжий	167
трус	184
жадность	193
застенчивый	125
наблюдательность	164
доминантный	163
опытный	160
оживленный	207
активный	231
талант	215
жёсткий	185
высокомерный	194
грубый	200
любопытный	139
зло	229
нежный	138
невиновный	159
наглость	228
зрелищный	172
проныра	132
недобрый	191
обычный	155
искренний	196
подлинный	186
получающий удовольствие	179
адаптивное поведение	205
строгий	173
жестокий	171
особенный	169
поверхностный	123
неприятный	217
ответственный	201
смелость	147
трусливо	221
веселый	223
вредный; озорной	166
истерик	127
личные качества	226
злобный	174
уверенный	154
брюзжать	232
причинять резкую боль	214
остроумие	157
мудрый	213
скромный	233
мужественность	216
беспокоящий	227
аниматор	128
агрессивный	210
испорченный	137
отличный	146
адаптивный	130
запасливый	219
инициатива	161
амбициозный	131
странный	203
верный	168
миленький	156
тщеславный	162
модный	188
доминирующий	181
продуманный	230
активный	231
наглость	228
милосердный	187
прагматичный	136
предусмотрительный	211
наблюдательность	164
остроумие	157
жадность	193
нахальный	225
трусливо	221
осторожный	189
жёсткий	185
неприятный	217
причинять резкую боль	214
смелость	147
невиновный	159
зло	229
зрелищный	172
отрицательный	206
аккуратный	197
проныра	132
приличный	195
веселый	223
отвратительный	202
поверхностный	123
грубый	200
неприятный	217
получающий удовольствие	179
доминантный	163
талант	215
продуманный	230
высокомерный	194
ребяческий	152
осторожный	189
беспокоящий	227
искренний	196
добрый	126
адаптивное поведение	205
логичный	176
враждебный	178
жестокий	171
наивный	143
миленький	156
нежный	138
гений	140
рассеянный	141
неудобно	190
ленивый	150
детский	151
торжественный	177
недобрый	191
правша	148
непослушный	142
адаптивность	208
мятежный	170
острый	144
недовольный	212
гордый	134
образованный	222
кротость	129
прирученный	122
одаренный	135
жадный	182
стойкость	153
объективный	209
разумный	149
угрюмый	183
вежливый	145
интеллектуальный	124
лицемерный	198
глупый	204
трус	184
злобный	174
ответственный	201
агрессивный	210
вредный; озорной	166
логичный	176
аниматор	128
доминирующий	181
потрясающий	180
стойкость	153
положительный	199
дружелюбный	224
правша	148
скромный	233
брюзжать	232
торжественный	177
подлинный	186
мятежный	170
амбициозный	131
одаренный	135
нерадивый	175
послушный	158
неловкий; неуклюжий	167
положительный	199
поверхностный	123
наглость	228
опытный	160
предусмотрительный	211
оживленный	207
нежный	138
трусливо	221
наблюдательность	164
прагматичный	136
беспокоящий	227
личные качества	226
проныра	132
ребяческий	152
красивый	192
отвратительный	202
послушный	158
застенчивый	125
активный	231
особенный	169
грубый	200
опытный	160
потрясающий	180
недобрый	191
жёсткий	185
причинять резкую боль	214
неловкий; неуклюжий	167
милый	220
получающий удовольствие	179
сильный	165
остроумие	157
остроумие	157
милосердный	187
любопытный	139
милосердный	187
строгий	173
талант	215
продуманный	230
смешной	218
положительный	199
мужественность	216
смелость	147
нахальный	225
наглость	228
личные качества	226
нерадивый	175
беспокоящий	227
истерик	127
обычный	155
поверхностный	123
нежный	138
доминантный	163
неприятный	217
проныра	132
оживленный	207
высокомерный	194
аккуратный	197
скучный	133
зло	229
осторожный	189
трусливо	221
зрелищный	172
веселый	223
приличный	195
мужественность	216
трус	184
дружелюбный	224
искренний	196
миленький	156
продуманный	230
адаптивное поведение	205
ответственный	201
уверенный	154
агрессивный	210
вредный; озорной	166
одаренный	135
стойкость	153
брюзжать	232
непослушный	142
